Grid Ref: Easting,Grid Ref: Northing,Number of Vehicles,Time (24hr),1st Road Class,Road Surface,Lighting Conditions,Weather Conditions,Vehicle Number,Type of Vehicle,Casualty Class,Casualty Severity,Sex of Casualty,Age of Casualty
431715,434630,1,1600,6,1,1,1,1,8,3,3,2,62
442100,434633,2,1045,3,2,1,1,2,1,1,2,1,74
429144,432009,1,1537,6,2,1,1,1,9,3,3,2,4
425353,435934,2,2031,6,1,4,1,2,9,1,3,2,35
425353,435934,2,2031,6,1,4,1,2,9,3,3,2,42
423620,440616,1,909,6,1,1,1,1,9,3,3,2,39
423620,440616,1,909,6,1,1,1,1,9,3,3,1,44
433087,435615,2,1612,6,1,1,1,2,22,1,3,2,11
424127,428193,3,1630,3,1,1,1,2,9,1,3,1,45
430285,434323,3,1630,2,2,4,1,3,9,1,3,1,28
432052,425605,2,1800,1,2,4,1,1,9,1,3,1,51
420894,434451,2,1145,3,4,1,1,1,9,1,3,2,39
417424,441806,2,900,6,3,1,3,2,9,1,3,1,72
434169,436127,4,1225,6,1,1,1,1,9,1,3,1,29
434169,436127,4,1225,6,1,1,1,2,9,2,3,2,88
433113,434027,2,1807,4,2,4,1,1,9,2,3,2,22
428539,434634,2,1900,6,1,4,1,2,9,1,3,2,27
421481,434418,2,1020,4,3,1,1,1,9,1,3,1,35
431082,433729,2,1033,2,1,1,1,1,9,2,1,2,77
431082,433729,2,1033,2,1,1,1,1,9,2,3,2,51
431082,433729,2,1033,2,1,1,1,1,9,1,3,1,71
426901,439315,2,1050,6,1,1,1,1,9,1,3,2,31
426901,439315,2,1050,6,1,1,1,2,9,1,3,1,42
426512,427195,2,1230,6,1,1,1,2,9,1,3,2,20
426512,427195,2,1230,6,1,1,1,2,9,2,3,2,30
425552,427914,2,1552,3,1,1,1,1,9,2,3,2,33
427448,432585,1,1640,6,2,1,1,1,9,3,2,1,63
432631,434576,1,2254,6,4,4,1,1,9,3,3,1,43
426929,429269,3,2305,3,4,4,1,1,9,2,2,1,21
429991,434152,2,2314,6,2,4,1,2,1,1,3,1,27
436022,434828,1,2010,6,4,4,1,1,9,3,2,1,16
430787,433346,2,1203,3,1,1,1,1,8,1,3,1,62
430787,433346,2,1203,3,1,1,1,1,8,2,3,2,45
430787,433346,2,1203,3,1,1,1,2,9,1,3,1,50
430787,433346,2,1203,3,1,1,1,2,9,2,3,2,2
430973,439006,3,1350,6,1,1,1,2,19,1,3,1,49
434451,436311,1,1510,6,1,1,1,1,9,3,3,1,11
441913,430132,2,1600,6,2,1,1,2,3,1,3,1,19
429148,431754,2,1650,6,1,4,1,2,9,2,3,1,1
433438,435500,1,1750,6,2,4,1,1,9,3,2,2,34
428926,433413,2,1830,3,1,4,1,2,9,1,3,2,26
421304,445760,1,955,6,2,5,7,1,9,1,3,2,31
434816,435321,2,1450,6,1,1,1,2,9,1,3,1,48
430445,433458,2,1330,6,1,1,1,2,19,2,3,1,39
427914,441536,2,1825,6,2,6,2,1,9,1,3,1,40
427914,441536,2,1825,6,2,6,2,2,9,1,3,2,23
427745,436450,1,2046,3,2,4,2,1,9,3,2,1,21
429135,433853,1,45,6,2,4,2,1,9,3,3,2,19
440866,428472,1,730,6,2,1,1,1,9,3,2,1,8
429099,433513,2,530,6,1,4,1,2,8,1,3,1,46
430469,437076,1,1555,6,1,1,1,1,19,3,3,2,51
429143,431739,1,648,6,2,4,5,1,9,3,3,1,26
440472,448377,1,1430,4,2,1,1,1,9,3,3,2,58
434375,428565,2,1700,6,2,4,2,1,9,1,3,1,23
434375,428565,2,1700,6,2,4,2,1,9,2,3,2,44
430437,434393,2,1830,6,1,4,4,1,9,1,3,2,24
430437,434393,2,1830,6,1,4,4,1,9,2,3,1,14
430437,434393,2,1830,6,1,4,4,2,3,1,3,1,26
444752,432211,1,1925,6,1,6,1,1,3,1,2,1,15
430413,434264,2,2245,6,1,4,1,1,9,1,3,2,28
415909,442021,2,1255,6,1,1,1,1,9,2,1,1,52
415909,442021,2,1255,6,1,1,1,1,9,2,2,1,50
415909,442021,2,1255,6,1,1,1,2,9,1,3,1,47
428516,431824,5,1308,3,1,1,1,1,9,1,3,2,32
428516,431824,5,1308,3,1,1,1,2,9,1,3,2,48
423492,431856,1,1600,6,2,1,1,1,9,2,3,2,34
427152,432517,2,1330,6,2,1,1,2,9,1,3,2,22
427152,432517,2,1330,6,2,1,1,2,9,2,3,2,55
426434,433300,2,757,6,2,4,1,2,1,1,3,1,42
431074,430365,2,935,6,1,1,1,2,1,1,3,1,34
440879,445707,1,1140,3,1,1,1,1,4,1,2,2,54
436017,436581,1,1230,3,2,1,1,1,9,3,2,2,51
425084,427379,3,902,3,2,1,1,1,3,1,1,1,17
433114,434024,2,815,4,1,1,1,1,9,1,3,1,46
438952,431553,2,730,6,2,1,1,2,3,1,3,1,50
432428,426182,2,1131,1,1,1,1,1,19,1,3,1,46
432428,426182,2,1131,1,1,1,1,2,21,1,3,1,46
427271,437142,2,1739,6,1,4,1,2,1,1,3,1,43
432180,434626,2,1815,6,1,1,1,2,1,1,3,1,27
423025,437668,2,2012,3,1,4,1,1,8,1,3,1,36
423025,437668,2,2012,3,1,4,1,2,8,1,3,1,32
430788,433346,2,1055,3,1,1,1,2,9,1,3,2,38
427036,432779,1,1218,6,1,1,1,1,3,2,3,1,23
437044,438288,2,1745,6,1,4,1,1,9,1,3,1,25
429531,440826,2,709,6,1,1,1,2,9,1,3,1,49
430749,438894,2,1418,6,1,1,1,2,1,1,3,2,22
431803,435597,1,1730,3,1,4,1,1,9,3,3,2,42
428438,435044,1,2010,6,1,4,1,1,9,3,3,1,62
428961,429307,1,639,6,1,1,1,1,9,1,3,1,26
440557,426187,2,740,3,1,1,1,2,1,1,2,1,44
428048,431116,2,1225,6,1,1,1,1,9,2,3,2,12
433808,434630,1,1640,6,1,1,1,1,9,3,3,1,78
430129,432175,2,1136,6,1,1,1,1,19,1,3,1,42
430129,432175,2,1136,6,1,1,1,2,9,1,3,1,47
428987,432348,3,1821,6,1,1,1,2,3,1,3,1,27
428530,431241,2,1745,6,1,1,1,2,9,1,3,2,55
432905,436748,2,730,6,1,7,1,2,1,1,2,1,44
429514,427230,1,1745,6,1,4,1,1,9,3,3,2,10
429514,427230,1,1745,6,1,4,1,1,9,3,3,2,5
418098,445930,1,149,3,1,6,1,1,9,1,3,1,20
418098,445930,1,149,3,1,6,1,1,9,2,2,1,21
432561,433800,2,1041,3,1,1,1,1,9,1,3,2,45
432561,433800,2,1041,3,1,1,1,2,20,1,2,1,35
431188,431464,3,1300,6,1,1,1,2,9,1,3,2,43
428135,435423,2,1100,6,1,1,1,2,9,1,3,2,29
436751,425924,1,445,1,2,6,1,1,9,1,3,2,32
429063,435350,1,1445,6,1,1,1,1,5,3,2,2,19
430797,433291,3,2115,6,1,4,1,3,1,1,3,1,22
435222,438960,2,1505,3,1,1,1,1,9,1,3,1,22
435222,438960,2,1505,3,1,1,1,1,9,2,3,2,19
435222,438960,2,1505,3,1,1,1,2,9,1,3,2,58
435222,438960,2,1505,3,1,1,1,2,9,2,3,1,82
427479,436685,2,1800,6,1,4,1,2,9,1,3,1,35
430358,424163,2,1405,1,1,1,1,2,9,1,3,2,46
429912,436614,1,1113,6,1,1,1,1,9,3,3,2,68
428003,426413,2,1814,1,1,4,1,2,9,1,3,2,33
430478,435596,2,1820,6,1,4,1,2,1,1,3,1,17
428795,435572,1,2000,3,1,4,1,1,9,3,2,1,30
431056,431252,1,619,6,1,1,1,1,9,1,3,1,23
432114,435381,2,1121,4,1,1,1,2,9,1,3,1,62
425393,433052,1,1334,6,1,1,1,1,2,1,2,1,15
426838,439912,1,1349,6,1,1,1,1,9,3,2,2,78
437794,432381,3,1755,1,1,5,1,2,9,1,3,1,49
437794,432381,3,1755,1,1,5,1,3,9,1,3,2,26
432734,427498,2,601,6,1,4,1,2,3,2,1,1,23
422702,428717,1,1630,6,1,1,1,1,9,3,3,1,17
